NTACode;Language_Top;Language_PCT_Top;Language_PCT_MOE_Top;Language_Second;Language_PCT_Second;Language_PCT_MOE_Second;Language_Third;Language_PCT_Third;Language_PCT_MOE_Third;Language_Fourth;Language_PCT_Fourth;Language_PCT_MOE_Fourth;Language_Fifth;Language_PCT_Fifth;Language_PCT_MOE_Fifth
BK19;"Russian-Speak English Less Than ""Very Well"" PCT";0.388;2.2;"Spanish- Speak English Less Than ""Very Well"" PCT";0.079;1.9;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.03;1;"Chinese-Speak English Less Than ""Very Well"" PCT";0.022;0.9;"Other Slavic languages-Speak English Less Than ""Very Well"" PCT";0.013;0.5
BK31;"Chinese-Speak English Less Than ""Very Well"" PCT";0.049;0.6;"Arabic-Speak English Less Than ""Very Well"" PCT";0.041;0.8;"Spanish- Speak English Less Than ""Very Well"" PCT";0.04;0.7;"Russian-Speak English Less Than ""Very Well"" PCT";0.026;0.4;"Greek-Speak English Less Than ""Very Well"" PCT";0.015;0.3
BK32;"Spanish- Speak English Less Than ""Very Well"" PCT";0.327;2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.079;1;"Arabic-Speak English Less Than ""Very Well"" PCT";0.011;0.4;"Russian-Speak English Less Than ""Very Well"" PCT";0.006;0.2;"Polish-Speak English Less than ""Very Well"" PCT";0.005;0.3
BK33;"Spanish- Speak English Less Than ""Very Well"" PCT";0.058;1.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.008;0.6;"French-Speak English Less Than ""Very Well"" PCT";0.007;0.5;"Italian-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"Russian-Speak English Less Than ""Very Well"" PCT";0.003;0.2
BK34;"Chinese-Speak English Less Than ""Very Well"" PCT";0.375;1.9;"Spanish- Speak English Less Than ""Very Well"" PCT";0.178;1.6;"Yiddish-Speak English Less than ""very Well"" PCT";0.011;0.5;"Polish-Speak English Less than ""Very Well"" PCT";0.009;0.3;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.009;0.3
BK35;"Spanish- Speak English Less Than ""Very Well"" PCT";0.068;1;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.004;0.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.003;0.2;"African Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.2
BK37;"Spanish- Speak English Less Than ""Very Well"" PCT";0.056;0.8;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;0.2;"Russian-Speak English Less Than ""Very Well"" PCT";0.003;0.1;"Japanese-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"Polish-Speak English Less than ""Very Well"" PCT";0.002;0.2
BK38;"Spanish- Speak English Less Than ""Very Well"" PCT";0.061;0.9;"Chinese-Speak English Less Than ""Very Well"" PCT";0.032;1.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.005;0.3;"Arabic-Speak English Less Than ""Very Well"" PCT";0.005;0.5;"Korean-Speak English Less Than ""Very Well"" PCT";0.004;0.3
BK40;"Spanish- Speak English Less Than ""Very Well"" PCT";0.026;1;"Chinese-Speak English Less Than ""Very Well"" PCT";0.025;0.9;"Russian-Speak English Less Than ""Very Well"" PCT";0.024;0.9;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.017;1.2;"Italian-Speak English Less Than ""Very Well"" PCT";0.007;0.5
BK41;"Spanish- Speak English Less Than ""Very Well"" PCT";0.081;1.6;"Russian-Speak English Less Than ""Very Well"" PCT";0.079;1.4;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.078;1.6;"Chinese-Speak English Less Than ""Very Well"" PCT";0.029;0.7;"Polish-Speak English Less than ""Very Well"" PCT";0.02;1
BK42;"Spanish- Speak English Less Than ""Very Well"" PCT";0.089;1;"French Creole-Speak English Less than ""Very Well"" PCT";0.065;0.8;"Russian-Speak English Less Than ""Very Well"" PCT";0.025;0.4;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.02;0.7;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.018;0.5
BK43;"Russian-Speak English Less Than ""Very Well"" PCT";0.152;1.3;"Spanish- Speak English Less Than ""Very Well"" PCT";0.038;1.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.025;0.6;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.021;0.7;"Hebrew-Speak English Less Than ""Very Well"" PCT";0.019;0.6
BK44;"Russian-Speak English Less Than ""Very Well"" PCT";0.132;1.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.093;1.1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.021;0.9;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.009;0.4;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.008;0.6
BK45;"Russian-Speak English Less Than ""Very Well"" PCT";0.037;0.7;"Spanish- Speak English Less Than ""Very Well"" PCT";0.02;0.6;"Chinese-Speak English Less Than ""Very Well"" PCT";0.015;0.4;"Hebrew-Speak English Less Than ""Very Well"" PCT";0.01;0.4;"French Creole-Speak English Less than ""Very Well"" PCT";0.008;0.4
BK46;"Russian-Speak English Less Than ""Very Well"" PCT";0.06;1.2;"Spanish- Speak English Less Than ""Very Well"" PCT";0.052;1.7;"Hebrew-Speak English Less Than ""Very Well"" PCT";0.019;0.9;"Yiddish-Speak English Less than ""very Well"" PCT";0.014;1.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.014;0.8
BK50;"French Creole-Speak English Less than ""Very Well"" PCT";0.084;1.1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.026;0.6;"Chinese-Speak English Less Than ""Very Well"" PCT";0.012;0.4;"African Languages-Speak English Less Than ""Very Well"" PCT";0.005;0.2;"French-Speak English Less Than ""Very Well"" PCT";0.004;0.1
BK58;"French Creole-Speak English Less than ""Very Well"" PCT";0.079;1.1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.031;0.8;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.014;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.011;0.3;"Arabic-Speak English Less Than ""Very Well"" PCT";0.006;0.3
BK60;"French Creole-Speak English Less than ""Very Well"" PCT";0.05;1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.032;0.6;"French-Speak English Less Than ""Very Well"" PCT";0.006;0.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.006;0.4;"Arabic-Speak English Less Than ""Very Well"" PCT";0.003;0.2
BK61;"Spanish- Speak English Less Than ""Very Well"" PCT";0.039;0.7;"French Creole-Speak English Less than ""Very Well"" PCT";0.012;0.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.007;0.3;"Arabic-Speak English Less Than ""Very Well"" PCT";0.007;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.2
BK63;"French Creole-Speak English Less than ""Very Well"" PCT";0.045;1.4;"Spanish- Speak English Less Than ""Very Well"" PCT";0.024;0.8;"Hebrew-Speak English Less Than ""Very Well"" PCT";0.01;0.7;"Arabic-Speak English Less Than ""Very Well"" PCT";0.007;0.9;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.4
BK64;"Spanish- Speak English Less Than ""Very Well"" PCT";0.02;0.8;"Chinese-Speak English Less Than ""Very Well"" PCT";0.015;1;"French Creole-Speak English Less than ""Very Well"" PCT";0.009;9;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;0.4;"Arabic-Speak English Less Than ""Very Well"" PCT";0.004;0.4
BK68;"Spanish- Speak English Less Than ""Very Well"" PCT";0.068;1.5;"Chinese-Speak English Less Than ""Very Well"" PCT";0.03;0.9;"Arabic-Speak English Less Than ""Very Well"" PCT";0.006;0.7;"African Languages-Speak English Less Than ""Very Well"" PCT";0.005;0.3;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;0.3
BK69;"Spanish- Speak English Less Than ""Very Well"" PCT";0.032;0.8;"Yiddish-Speak English Less than ""very Well"" PCT";0.018;0.8;"French Creole-Speak English Less than ""Very Well"" PCT";0.008;0.5;"French-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.3
BK72;"Yiddish-Speak English Less than ""very Well"" PCT";0.267;2.6;"Spanish- Speak English Less Than ""Very Well"" PCT";0.046;1.3;"Hebrew-Speak English Less Than ""Very Well"" PCT";0.009;0.4;"Hungarian-Speak English Less Than ""Very Well"" PCT";0.005;0.2;"Russian-Speak English Less Than ""Very Well"" PCT";0.004;0.4
BK73;"Spanish- Speak English Less Than ""Very Well"" PCT";0.132;1.4;"Yiddish-Speak English Less than ""very Well"" PCT";0.036;0.8;"Polish-Speak English Less than ""Very Well"" PCT";0.009;0.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.009;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.002;0.1
BK75;"Spanish- Speak English Less Than ""Very Well"" PCT";0.073;0.9;"Yiddish-Speak English Less than ""very Well"" PCT";0.058;0.7;"French-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;0.3;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.3;0.4
BK76;"Polish-Speak English Less than ""Very Well"" PCT";0.128;1.5;"Spanish- Speak English Less Than ""Very Well"" PCT";0.042;1.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;0.4;"Russian-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.3
BK77;"Spanish- Speak English Less Than ""Very Well"" PCT";0.398;2.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.01;0.5;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.005;0.3;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;0.3;"Arabic-Speak English Less Than ""Very Well"" PCT";0.004;0.3
BK78;"Spanish- Speak English Less Than ""Very Well"" PCT";0.224;1.8;"Chinese-Speak English Less Than ""Very Well"" PCT";0.009;0.3;"French Creole-Speak English Less than ""Very Well"" PCT";0.003;0.1;"French-Speak English Less Than ""Very Well"" PCT";0.002;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.002;0.2
BK79;"Spanish- Speak English Less Than ""Very Well"" PCT";0.058;1.5;"African Languages-Speak English Less Than ""Very Well"" PCT";0.01;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.006;0.5;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;0.4;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;0.2
BK81;"Spanish- Speak English Less Than ""Very Well"" PCT";0.064;1;"French Creole-Speak English Less than ""Very Well"" PCT";0.009;0.3;"French-Speak English Less Than ""Very Well"" PCT";0.002;0.1;"African Languages-Speak English Less Than ""Very Well"" PCT";0.002;0.1;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.001;0.2
BK82;"Spanish- Speak English Less Than ""Very Well"" PCT";0.075;0.8;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.008;0.3;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;0.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"African Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.1
BK83;"Spanish- Speak English Less Than ""Very Well"" PCT";0.194;1.7;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.022;0.7;"Chinese-Speak English Less Than ""Very Well"" PCT";0.014;0.5;"French Creole-Speak English Less than ""Very Well"" PCT";0.002;0.1;"Hindi-Speak English Less Than ""Very Well"" PCT";0.002;0.3
BK85;"Spanish- Speak English Less Than ""Very Well"" PCT";0.073;1.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;0.4;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"French-Speak English Less Than ""Very Well"" PCT";0.002;0.2;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.002;0.2
BK88;"Yiddish-Speak English Less than ""very Well"" PCT";0.118;1.1;"Chinese-Speak English Less Than ""Very Well"" PCT";0.083;0.9;"Spanish- Speak English Less Than ""Very Well"" PCT";0.068;1.1;"Russian-Speak English Less Than ""Very Well"" PCT";0.023;0.5;"Polish-Speak English Less than ""Very Well"" PCT";0.013;0.3
BK90;"Spanish- Speak English Less Than ""Very Well"" PCT";0.129;1.7;"Chinese-Speak English Less Than ""Very Well"" PCT";0.06;0.8;"Polish-Speak English Less than ""Very Well"" PCT";0.021;0.7;"Italian-Speak English Less Than ""Very Well"" PCT";0.005;0.3;"Japanese-Speak English Less Than ""Very Well"" PCT";0.003;0.2
BK91;"French Creole-Speak English Less than ""Very Well"" PCT";0.061;1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;0.5;"French-Speak English Less Than ""Very Well"" PCT";0.008;0.4;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"African Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.2
BK93;"Russian-Speak English Less Than ""Very Well"" PCT";0.136;2.8;"Spanish- Speak English Less Than ""Very Well"" PCT";0.039;2.3;"French Creole-Speak English Less than ""Very Well"" PCT";0.016;1.2;"Chinese-Speak English Less Than ""Very Well"" PCT";0.015;1.4;"Arabic-Speak English Less Than ""Very Well"" PCT";0.6;
BK95;"French Creole-Speak English Less than ""Very Well"" PCT";0.07;1.3;"Spanish- Speak English Less Than ""Very Well"" PCT";0.037;1.4;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.3;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.003;0.4;"African Languages-Speak English Less Than ""Very Well"" PCT";0.003;0.3
BK96;"French Creole-Speak English Less than ""Very Well"" PCT";0.026;0.8;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;0.5;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.3;"African Languages-Speak English Less Than ""Very Well"" PCT";0.002;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.001;0.2
BK99;"Russian-Speak English Less Than ""Very Well"" PCT";0.043;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.038;;"French-Speak English Less Than ""Very Well"" PCT";0;;"French-Speak English Less Than ""Very Well"" PCT";0;;"French-Speak English Less Than ""Very Well"" PCT";0;
BK99;"Russian-Speak English Less Than ""Very Well"" PCT";0.043;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.038;;"French-Speak English Less Than ""Very Well"" PCT";0;;"French-Speak English Less Than ""Very Well"" PCT";0;;"French-Speak English Less Than ""Very Well"" PCT";0;
BX01;"Spanish- Speak English Less Than ""Very Well"" PCT";0.225;2.6;"African Languages-Speak English Less Than ""Very Well"" PCT";0.028;1.2;"French-Speak English Less Than ""Very Well"" PCT";0.006;0.5;"French Creole-Speak English Less than ""Very Well"" PCT";0;;"French Creole-Speak English Less than ""Very Well"" PCT";0;
BX03;"Spanish- Speak English Less Than ""Very Well"" PCT";0.056;1.2;"African Languages-Speak English Less Than ""Very Well"" PCT";0.015;0.9;"French-Speak English Less Than ""Very Well"" PCT";0.004;0.3;"Italian-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.002;0.2
BX05;"Spanish- Speak English Less Than ""Very Well"" PCT";0.29;2.3;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.011;0.6;"Korean-Speak English Less Than ""Very Well"" PCT";0.008;0.7;"African Languages-Speak English Less Than ""Very Well"" PCT";0.008;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.4
BX06;"Spanish- Speak English Less Than ""Very Well"" PCT";0.249;3;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.012;1.2;"French-Speak English Less Than ""Very Well"" PCT";0.008;0.5;"Italian-Speak English Less Than ""Very Well"" PCT";0.007;0.4;"Korean-Speak English Less Than ""Very Well"" PCT";0.004;0.4
BX07;"Spanish- Speak English Less Than ""Very Well"" PCT";0.196;2.5;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.019;0.6;"Russian-Speak English Less Than ""Very Well"" PCT";0.007;0.3;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.007;0.8;"African Languages-Speak English Less Than ""Very Well"" PCT";0.006;0.4
BX08;"Spanish- Speak English Less Than ""Very Well"" PCT";0.283;2.9;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.007;0.5;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;0.7;"French-Speak English Less Than ""Very Well"" PCT";0.005;0.4;"African Languages-Speak English Less Than ""Very Well"" PCT";0.005;0.4
BX09;"Spanish- Speak English Less Than ""Very Well"" PCT";0.183;1.7;"African Languages-Speak English Less Than ""Very Well"" PCT";0.007;0.3;"Japanese-Speak English Less Than ""Very Well"" PCT";0.002;0.2;"Vietnamese- Speak English Less Than ""Very Well"" PCT";0.002;0.3;"French-Speak English Less Than ""Very Well"" PCT";0.001;0.1
BX10;"Spanish- Speak English Less Than ""Very Well"" PCT";0.049;1.5;"Italian-Speak English Less Than ""Very Well"" PCT";0.021;0.7;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.009;0.4;"Greek-Speak English Less Than ""Very Well"" PCT";0.008;0.7;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;0.3
BX13;"Spanish- Speak English Less Than ""Very Well"" PCT";0.079;1.8;"African Languages-Speak English Less Than ""Very Well"" PCT";0.013;1.1;"Russian-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.002;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT MOE";0.002;0.3
BX14;"Spanish- Speak English Less Than ""Very Well"" PCT";0.288;2.1;"African Languages-Speak English Less Than ""Very Well"" PCT";0.022;0.6;"French-Speak English Less Than ""Very Well"" PCT";0.013;0.5;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.005;0.3;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.002;0.1
BX17;"Spanish- Speak English Less Than ""Very Well"" PCT";0.247;2.3;"African Languages-Speak English Less Than ""Very Well"" PCT";0.012;0.4;"French-Speak English Less Than ""Very Well"" PCT";0.004;0.2;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.004;0.5;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.001;0.1
BX22;"Spanish- Speak English Less Than ""Very Well"" PCT";0.039;1;"Korean-Speak English Less Than ""Very Well"" PCT";0.01;0.5;"Russian-Speak English Less Than ""Very Well"" PCT";0.009;0.5;"Chinese-Speak English Less Than ""Very Well"" PCT";0.008;0.6;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.006;0.7
BX26;"Spanish- Speak English Less Than ""Very Well"" PCT";0.284;2.7;"African Languages-Speak English Less Than ""Very Well"" PCT";0.022;0.9;"French-Speak English Less Than ""Very Well"" PCT";0.011;0.5;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.002;0.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.002;0.3
BX27;"Spanish- Speak English Less Than ""Very Well"" PCT";0.319;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.009;;"French-Speak English Less Than ""Very Well"" PCT";0.008;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.001;;"French Creole-Speak English Less than ""Very Well"" PCT";0;
BX28;"Spanish- Speak English Less Than ""Very Well"" PCT";0.242;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.008;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;
BX29;"Spanish- Speak English Less Than ""Very Well"" PCT";0.108;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.009;;"Russian-Speak English Less Than ""Very Well"" PCT";0.007;;"Korean-Speak English Less Than ""Very Well"" PCT";0.004;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.003;
BX30;"Spanish- Speak English Less Than ""Very Well"" PCT";0.299;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.01;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.008;;"French-Speak English Less Than ""Very Well"" PCT";0.007;;"Vietnamese- Speak English Less Than ""Very Well"" PCT";0.005;
BX31;"Spanish- Speak English Less Than ""Very Well"" PCT";0.072;;"Italian-Speak English Less Than ""Very Well"" PCT";0.018;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.017;;"Vietnamese- Speak English Less Than ""Very Well"" PCT";0.008;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;
BX33;"Spanish- Speak English Less Than ""Very Well"" PCT";0.335;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.014;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.002;;"French Creole-Speak English Less than ""Very Well"" PCT";0.001;
BX34;"Spanish- Speak English Less Than ""Very Well"" PCT";0.286;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.02;;"French-Speak English Less Than ""Very Well"" PCT";0.008;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.006;;"Tagalog-Speak English Less Than ""Very Well"" PCT";0.001;
BX35;"Spanish- Speak English Less Than ""Very Well"" PCT";0.263;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.022;;"French-Speak English Less Than ""Very Well"" PCT";0.009;;"Other Languages-Speak English Less Than ""Very Well"" PCT";0.002;;"French Creole-Speak English Less than ""Very Well"" PCT";0.001;
BX36;"Spanish- Speak English Less Than ""Very Well"" PCT";0.301;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.02;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French Creole-Speak English Less than ""Very Well"" PCT";0.001;
BX37;"Spanish- Speak English Less Than ""Very Well"" PCT";0.151;;"Italian-Speak English Less Than ""Very Well"" PCT";0.017;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.015;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.015;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.008;
BX39;"Spanish- Speak English Less Than ""Very Well"" PCT";0.342;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
BX40;"Spanish- Speak English Less Than ""Very Well"" PCT";0.335;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.018;;"French-Speak English Less Than ""Very Well"" PCT";0.005;;"French Creole-Speak English Less than ""Very Well"" PCT";0.003;;"Other Languages-Speak English Less Than ""Very Well"" PCT";0.002;
BX41;"Spanish- Speak English Less Than ""Very Well"" PCT";0.335;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.024;;"French-Speak English Less Than ""Very Well"" PCT";0.006;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.002;;"French Creole-Speak English Less than ""Very Well"" PCT";0.001;
BX43;"Spanish- Speak English Less Than ""Very Well"" PCT";0.242;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.038;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.014;;"Korean-Speak English Less Than ""Very Well"" PCT";0.007;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.006;
BX44;"Spanish- Speak English Less Than ""Very Well"" PCT";0.076;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.01;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French Creole-Speak English Less than ""Very Well"" PCT";0.003;;"Italian-Speak English Less Than ""Very Well"" PCT";0.001;
